first,last,position,year,number,hometown,status,grad_year,name_last_first_initial,name_last_first,name
vhito,decapria,Captain,R-Fr.,1,,R-Fr.,2025,"decapria, v","decapria, vhito",vhito decapria
ryan,glover,QB,Sr.,1,"Atlanta, Ga.",Senior,2020,"glover, r","glover, ryan",ryan glover
taheeb,sonekan,DL,Sr.,2,"Bowie, Md.",Senior,2019,"sonekan, t","sonekan, taheeb",taheeb sonekan
abe,willows,WR,Sr.,2,"Austin, Texas",Senior,2019,"willows, a","willows, abe",abe willows
mac,humble,WR,Sr.,3,"Spicewood, Texas.",Senior,2020,"humble, m","humble, mac",mac humble
khalil,weathers,WR,Sr.,6,"Pittsburgh, Pa.",Senior,2022,"weathers, k","weathers, khalil",khalil weathers
ben,gerber,WR,Sr.,5,"Wayne, Pa.",Senior,2022,"gerber, b","gerber, ben",ben gerber
eric,markes,WR,Sr.,5,"Valencia, Calif.",Senior,2019,"markes, e","markes, eric",eric markes
mohammed,diakite,DB,Sr.,6,"Northampton, Pa.",Senior,2021,"diakite, m","diakite, mohammed",mohammed diakite
john,quinnelly,QB,Sr.,6,"Daphne, Ala.",Senior,2021,"quinnelly, j","quinnelly, john",john quinnelly
winston,britton,WR,Sr.,7,"Chester, N.Y.",Senior,2020,"britton, w","britton, winston",winston britton
garrett,morris,LB,Sr.,7,"Auburn, Ala.",Senior,2022,"morris, g","morris, garrett",garrett morris
hunter,hayes,OLB,Sr.,8,"Oakdale, Pa.",Senior,2019,"hayes, h","hayes, hunter",hunter hayes
nick,robinson,QB,Sr.,8,"Trabuco Canyon, Calif.",Senior,2019,"robinson, n","robinson, nick",nick robinson
lewis,gibson,WR,Sr.,9,"Dallas, Texas",Senior,2021,"gibson, l","gibson, lewis",lewis gibson
shane,sweitzer,TE,Sr.,12,"Madison, Conn.",Senior,2022,"sweitzer, s","sweitzer, shane",shane sweitzer
kolton,huber,WR,Sr.,10,"Basking Ridge, N.J.",Senior,2019,"huber, k","huber, kolton",kolton huber
tyler,herrick,WR,Sr.,11,"Hutto, Texas.",Senior,2019,"herrick, t","herrick, tyler",tyler herrick
sire,woods,TE,Sr.,12,"Long Beach, Calif.",Senior,2020,"woods, s","woods, sire",sire woods
tanner,long,LB,Sr.,13,"Ambler, Pa.",Senior,2021,"long, t","long, tanner",tanner long
mason,quandt,QB,Jr.,13,"Simi Valley, Calif.",Junior,2020,"quandt, m","quandt, mason",mason quandt
sam,philippi,DB,Sr.,14,"Trabuco Canyon, Calif.",Senior,2019,"philippi, s","philippi, sam",sam philippi
rory,"starkey, jr.",WR,Sr.,7,"Atlanta, Ga.",Senior,2022,"starkey, jr., r","starkey, jr., rory","rory starkey, jr."
gavin,geib,TE,Jr.,15,"Houston, Texas",Junior,2019,"geib, g","geib, gavin",gavin geib
david,perkins,K,Jr.,16,"Houston, Texas",Junior,2019,"perkins, d","perkins, david",david perkins
malcolm,strickland,DB,Sr.,16,"Atlanta, Ga.",Senior,2021,"strickland, m","strickland, malcolm",malcolm strickland
jason,"mccleod, jr.",DB,Sr.,17,"West Palm Beach, Fla.",Senior,2021,"mccleod, jr., j","mccleod, jr., jason","jason mccleod, jr."
jaden,key,DB,Sr.,1,"Neptune, N.J.",Senior,2023,"key, j","key, jaden",jaden key
preston,norwood,WR,Sr.,18,"Dacula, Ga.",Senior,2021,"norwood, p","norwood, preston",preston norwood
nance,hill,WR,So.,19,"Atlanta, Ga.",Sophomore,2020,"hill, n","hill, nance",nance hill
riley,o'brien,DB,Sr.,27,"San Clemente, Calif.",Senior,2020,"o'brien, r","o'brien, riley",riley o'brien
jacob,martin,DB,Sr.,20,"Buford, Ga.",Senior,2019,"martin, j","martin, jacob",jacob martin
jonathan,mulatu,RB,Sr.,21,"Springfield, Va.",Senior,2023,"mulatu, j","mulatu, jonathan",jonathan mulatu
justin,sands,DB,Jr.,21,"Cleveland, Ohio",Junior,2020,"sands, j","sands, justin",justin sands
johnny,williams,RB,So.,22,"Calabasas, Calif.",Sophomore,2020,"williams, j","williams, johnny",johnny williams
zach,evans,LB,Sr.,23,"Harrison, N.Y.",Senior,2019,"evans, z","evans, zach",zach evans
trey,flowers,RB,Sr.,8,"Miami, Fla.",Senior,2022,"flowers, t","flowers, trey",trey flowers
chris,rankins,DB,Sr.,2,"Sylmar, Calif.",Senior,2022,"rankins, c","rankins, chris",chris rankins
austin,cooper,DB,Sr.,25,"Centennial, Colo.",Senior,2019,"cooper, a","cooper, austin",austin cooper
kendren,smith,DB,Sr.,4,"Charlotte, N.C.",Senior,2023,"smith, k","smith, kendren",kendren smith
dante',moore,RB,Sr.,27,"Egg Harbor Township, N.J.",Senior,2019,"moore, d","moore, dante'",dante' moore
tayte,doddy,DB,Sr.,28,"Houston, Texas",Senior,2019,"doddy, t","doddy, tayte",tayte doddy
james,mccarthy,LB,Sr.,29,"Red Bank, N.J.",Senior,2020,"mccarthy, j","mccarthy, james",james mccarthy
karekin,brooks,RB,Sr.,30,"Marietta, Ga.",Senior,2019,"brooks, k","brooks, karekin",karekin brooks
miles,thompson,DB,Fr.,30,"Fairfax, Va.",Freshman,2019,"thompson, m","thompson, miles",miles thompson
benji,mowatt,DL,Sr.,3,"Fort Lee, N.J.",Senior,2020,"mowatt, b","mowatt, benji",benji mowatt
conor,o'brien,DB,Sr.,32,"San Clemente, Calif.",Senior,2019,"o'brien, c","o'brien, conor",conor o'brien
isaiah,malcome,RB,Sr.,33,"Atlanta, Ga.",Senior,2021,"malcome, i","malcome, isaiah",isaiah malcome
jack,meehan,LB,Sr.,27,"Tappan, N.Y.",Senior,2022,"meehan, j","meehan, jack",jack meehan
patrick,mcgettigan,LB/LS,Sr.,34,"Ambler, Pa.",Senior,2020,"mcgettigan, p","mcgettigan, patrick",patrick mcgettigan
luke,hoggard,LB,Sr.,35,"Huntington Beach, Calif.",Senior,2022,"hoggard, l","hoggard, luke",luke hoggard
adam,conyer,LB,Sr.,10,"Burlington, N.J.",Senior,2022,"conyer, a","conyer, adam",adam conyer
jesse,walsh,LB,Fr.,37,"Branford, Conn.",Freshman,2019,"walsh, j","walsh, jesse",jesse walsh
michael,rolfe,OLB,Sr.,38,"Scarsdale, N.Y.",Senior,2019,"rolfe, m","rolfe, michael",michael rolfe
ethan,zemla,LB,Sr.,54,"Highlands Ranch, Colo.",Senior,2022,"zemla, e","zemla, ethan",ethan zemla
tysen,comizio,RB,Sr.,40,"Greenwich, Conn.",Senior,2022,"comizio, t","comizio, tysen",tysen comizio
jonathan,melvin,LB,Sr.,3,"Hampton, Va.",Senior,2023,"melvin, j","melvin, jonathan",jonathan melvin
brendan,o'hara,TE,Sr.,42,"New Lenox, Ill.",Senior,2019,"o'hara, b","o'hara, brendan",brendan o'hara
sebastian,sanchez,OLB,Sr.,43,"Bedminster, N.J.",Senior,2019,"sanchez, s","sanchez, sebastian",sebastian sanchez
khalil,lewis,LB,Sr.,44,"McKinney, Texas",Senior,2021,"lewis, k","lewis, khalil",khalil lewis
jake,heimlicher,DL,Sr.,15,"Aurora, Colo.",Senior,2022,"heimlicher, j","heimlicher, jake",jake heimlicher
jake,gonzalez,DB,Sr.,26,"Wilmette, Ill.",Senior,2022,"gonzalez, j","gonzalez, jake",jake gonzalez
mitzseen,joseph,DL,Sr.,47,"Palm Beach County, Fla.",Senior,2023,"joseph, m","joseph, mitzseen",mitzseen joseph
matthew,mcelroy,DL,Sr.,48,"New Milford, N.J.",Senior,2021,"mcelroy, m","mcelroy, matthew",matthew mcelroy
connor,jangro,OLB,Sr.,49,"Jessup, Md.",Senior,2019,"jangro, c","jangro, connor",connor jangro
will,seiler,DL,Sr.,17,"Atlanta, Ga.",Senior,2023,"seiler, w","seiler, will",will seiler
sean,pahls,OLB,Sr.,51,"Kansas City, Kan.",Senior,2019,"pahls, s","pahls, sean",sean pahls
choyce,bostian iii,DL,Sr.,52,"Jamul, Calif.",Senior,2019,"bostian iii, c","bostian iii, choyce",choyce bostian iii
jordan,ford,LB,So.,53,"Phoenixville, Pa.",Sophomore,2020,"ford, j","ford, jordan",jordan ford
joshua,chapman,DL,Jr.,55,"Silver Spring, Md.",Junior,2021,"chapman, j","chapman, joshua",joshua chapman
jeff,gibbs,OL,Sr.,56,"Austin, Texas",Senior,2019,"gibbs, j","gibbs, jeff",jeff gibbs
travis,wang,OL,Sr.,42,"Taipei, Taiwan",Senior,2021,"wang, t","wang, travis",travis wang
trevor,radosevich,OL,Sr.,58,"Englishtown, N.J.",Senior,2022,"radosevich, t","radosevich, trevor",trevor radosevich
brian,o'neill,LB,Sr.,5,"Roseland, N.J.",Senior,2021,"o'neill, b","o'neill, brian",brian o'neill
jc,dobis,OL,Jr.,61,"Medford, N.J.",Junior,2021,"dobis, j","dobis, jc",jc dobis
jack,iuliano,DL,Sr.,48,"Rye, N.Y.",Senior,2023,"iuliano, j","iuliano, jack",jack iuliano
travis,spreen,OL,Sr.,64,"Sherwood, Ore.",Senior,2021,"spreen, t","spreen, travis",travis spreen
ben,hoitink,OL,Sr.,69,"Hartford, Wis.",Senior,2022,"hoitink, b","hoitink, ben",ben hoitink
joe,basiura,OL,Sr.,66,"Malvern, Pa.",Senior,2021,"basiura, j","basiura, joe",joe basiura
william,long,OL,Sr.,67,"Calhoun, Ga.",Senior,2020,"long, w","long, william",william long
declan,vargas,OL,Jr.,68,"McLean, Va.",Junior,2021,"vargas, d","vargas, declan",declan vargas
ben,padon,OL,Sr.,70,"Houston, Texas",Senior,2020,"padon, b","padon, ben",ben padon
greg,begnoche,OL,Sr.,71,"Delray Beach, Fla.",Senior,2019,"begnoche, g","begnoche, greg",greg begnoche
ace,escobedo,OL,Sr.,72,"Aurora, Colo.",Senior,2019,"escobedo, a","escobedo, ace",ace escobedo
jack,purcell,OL,Sr.,73,"Glen Mills, Pa.",Senior,2023,"purcell, j","purcell, jack",jack purcell
johnathan,gessner,OL,Sr.,74,"San Antonio, Texas",Senior,2020,"gessner, j","gessner, johnathan",johnathan gessner
dan,beaver,OL,Sr.,76,"Hummelstown, Pa.",Senior,2020,"beaver, d","beaver, dan",dan beaver
prince,emili,DL,Sr.,78,"New City, N.Y.",Senior,2021,"emili, p","emili, prince",prince emili
chase,bahr,OL,Sr.,75,"Lake Forest, Ill.",Senior,2022,"bahr, c","bahr, chase",chase bahr
lawal,oyedemi,DL,So.,80,"Sugar Land, Texas",Sophomore,2020,"oyedemi, l","oyedemi, lawal",lawal oyedemi
owen,goldsberry,WR,Sr.,11,"Arlington Heights, Ill.",Senior,2021,"goldsberry, o","goldsberry, owen",owen goldsberry
jake,ligos,OL,Sr.,50,"Long Valley, N.J.",Senior,2023,"ligos, j","ligos, jake",jake ligos
kailash,graham-bell,DL,Sr.,83,"Boulder, Colo.",Senior,2019,"graham-bell, k","graham-bell, kailash",kailash graham-bell
mike,hoffler,TE,Sr.,83,"Brooklyn, N.Y.",Senior,2022,"hoffler, m","hoffler, mike",mike hoffler
niko,rice,WR,Sr.,84,"Fallston, Md.",Senior,2020,"rice, n","rice, niko",niko rice
malone,howley,WR,Sr.,19,"Portsmouth, R.I.",Senior,2023,"howley, m","howley, malone",malone howley
chris,mottillo,TE,Sr.,86,"Fairview, Pa.",Senior,2021,"mottillo, c","mottillo, chris",chris mottillo
nick,shablom,TE,Sr.,88,"Haymarket, Va.",Senior,2019,"shablom, n","shablom, nick",nick shablom
ryan,cragun,WR,Sr.,2,"San Juan Capistrano, Calif.",Senior,2021,"cragun, r","cragun, ryan",ryan cragun
grant,ristoff,DL,Sr.,90,"Ladera Ranch, Calif.",Senior,2022,"ristoff, g","ristoff, grant",grant ristoff
ryan,mannelly,DL/LS,Sr.,92,"Atlanta, Ga.",Senior,2022,"mannelly, r","mannelly, ryan",ryan mannelly
drew,brennan,K,Sr.,93,"Downingtown, Pa.",Senior,2019,"brennan, d","brennan, drew",drew brennan
daniel,karrash,K,Sr.,94,"North Wales, Pa.",Senior,2021,"karrash, d","karrash, daniel",daniel karrash
jake,haggard,P,Jr.,95,"Laguna Niguel, Calif.",Junior,2020,"haggard, j","haggard, jake",jake haggard
david,ryslik,DL,Jr.,96,"Freehold, N.J.",Junior,2019,"ryslik, d","ryslik, david",david ryslik
mike,rodriguez,DL,Sr.,97,"Miami Lakes, Fla.",Senior,2020,"rodriguez, m","rodriguez, mike",mike rodriguez
micah,morris,DL,Sr.,98,"Pittsburgh, Pa.",Senior,2023,"morris, m","morris, micah",micah morris
ben,krimm,P,Sr.,99,"Columbus, Ohio",Senior,2022,"krimm, b","krimm, ben",ben krimm
ryan,zanelli,QB,Sr.,10,"Santa Ana, Calif.",Senior,2023,"zanelli, r","zanelli, ryan",ryan zanelli
hugh,brady,QB,Jr.,3,"Honolulu, Hawaii",Junior,2022,"brady, h","brady, hugh",hugh brady
maurcus,mcdaniel,WR,Sr.,14,"King of Prussia, Pa.",Senior,2023,"mcdaniel, m","mcdaniel, maurcus",maurcus mcdaniel
sterling,stokes,WR,Sr.,17,"Oakland, Calif.",Senior,2023,"stokes, s","stokes, sterling",sterling stokes
walter,soefker,DB,Sr.,33,"Memphis, Tenn.",Senior,2023,"soefker, w","soefker, walter",walter soefker
jack,plank,DL,Sr.,19,"Kensington, Md.",Senior,2023,"plank, j","plank, jack",jack plank
nate,white,LB,So.,20,"Dana Point, Calif.",Sophomore,2021,"white, n","white, nate",nate white
jack,fairman,LB,Sr.,23,"Bloomfield Hills, Mich.",Senior,2024,"fairman, j","fairman, jack",jack fairman
jordan,niles,RB,Sr.,24,"Clearwater, Fla.",Senior,2023,"niles, j","niles, jordan",jordan niles
shiloh,means,DB,Sr.,25,"Indianapolis, Ind.",Senior,2024,"means, s","means, shiloh",shiloh means
logan,nash,DB,Sr.,5,"Richmond Heights, Ohio",Senior,2023,"nash, l","nash, logan",logan nash
lawson,nash,DB,Sr.,2,"Richmond Heights, Ohio",Senior,2023,"nash, l","nash, lawson",lawson nash
chandler,mcgruder,RB,Jr.,32,"Indianapolis, Ind.",Junior,2022,"mcgruder, c","mcgruder, chandler",chandler mcgruder
anthony,bell,LB,Sr.,21,"Easton, Pa.",Senior,2023,"bell, a","bell, anthony",anthony bell
gabe,wright,DB,Sr.,37,"Stockbridge, Ga.",Senior,2023,"wright, g","wright, gabe",gabe wright
aidan,nash,LB,Sr.,38,"Philadelphia, Pa.",Senior,2023,"nash, a","nash, aidan",aidan nash
isaiah,jordan,LB,Sr.,36,"Rockville, Md.",Senior,2023,"jordan, i","jordan, isaiah",isaiah jordan
sam,carlson,DL,Sr.,42,"Bozeman, Mont.",Senior,2024,"carlson, s","carlson, sam",sam carlson
mozi,bici,LB,So.,45,"Suffield, Conn.",Sophomore,2021,"bici, m","bici, mozi",mozi bici
bennett,smith,TE,Sr.,49,"Charlotte, N.C.",Senior,2023,"smith, b","smith, bennett",bennett smith
henry,iloanya,DL,So.,52,"Glenn Dale, Md.",Sophomore,2021,"iloanya, h","iloanya, henry",henry iloanya
